,APPLE INC (USAB1X1),BANK OF AMERICA CORPORATION (USAJIJ1),INTEL CORP (USAH8Z1),AT&T INC (USAMTI1)
2018-01-02,0.0001,0.0068,-0.0135,-0.0156
2018-01-03,-0.0168,-0.0105,-0.0508,-0.0116
2018-01-04,0.0002,0.0025,-0.0246,0.0088
2018-01-05,-0.0013,-0.0043,0.0016,0.0011
2018-01-08,-0.0119,-0.006,-0.0066,-0.003
2018-01-09,0.0011,-0.0081,-0.0141,0.0021
2018-01-10,0.0017,-0.003,-0.0138,-0.0191
2018-01-11,-0.0044,-0.0028,0.0126,-0.0062
2018-01-12,-0.0021,0.0088,-0.0123,0.0044
2018-01-16,-0.0064,0.0046,-0.0035,-0.0004
2018-01-17,-0.0047,-0.0094,0.0078,-0.0012
2018-01-18,-0.0026,0.0125,0.0017,0.0127
2018-01-19,-0.0082,-0.0025,0.013,-0.0016
2018-01-22,-0.0004,-0.0016,0.0169,0.0007
2018-01-23,0.0004,-0.0008,0.0058,-0.0032
2018-01-24,-0.0077,0.0018,0.0065,-0.0106
2018-01-25,-0.0122,0.0042,0.0084,0.0081
2018-01-26,-0.013,-0.0056,0.0673,-0.0053
2018-01-29,-0.0102,0.0107,-0.0018,-0.0045
2018-01-30,0.0063,-0.0015,-0.0022,0.0076
2018-01-31,0.0008,0,-0.0186,-0.003
2018-02-01,0.0044,0.0037,-0.0035,0.0261
2018-02-02,-0.0157,0.004,-0.0006,0.0008
2018-02-05,0.0207,-0.0016,0.02,0.0024
2018-02-06,0.0182,0.0065,-0.0237,-0.0081
2018-02-07,-0.0112,0.0032,0.0295,0.0068
2018-02-08,0.0218,0.0027,-0.0148,0.0029
2018-02-09,0.0001,-0.0066,-0.0043,0.0096
2018-02-12,0.0187,0.0118,0.0064,-0.0125
2018-02-13,0.0093,-0.002,-0.0073,-0.0014
2018-02-14,-0.0011,-0.0014,0.0101,-0.0003
2018-02-15,0.0177,-0.0007,0.0024,-0.0071
2018-02-16,0.0076,-0.008,-0.0034,-0.0022
2018-02-20,-0.0085,0.0029,0.0032,0.0056
2018-02-21,0.0031,-0.001,0.0036,0.0094
2018-02-22,0.0042,-0.0009,-0.0051,0.0102
2018-02-23,0.0026,-0.0062,0.0203,-0.0142
2018-02-26,-0.0058,-0.0009,0.0023,0.0056
2018-02-27,0.0082,0.0088,0.0174,-0.0033
2018-02-28,0.0066,0.0051,-0.0012,0.001
2018-03-01,-0.0033,0.0011,-0.0072,-0.0003
2018-03-02,0.0041,0.0033,0.0101,0.0114
2018-03-05,-0.003,0.0028,0.0056,-0.0037
2018-03-06,-0.0081,-0.0065,0.0081,0.001
2018-03-07,-0.0088,0.0048,0.0129,0.0026
2018-03-08,0.0084,-0.0048,-0.0168,0.0009
2018-03-09,-0.0085,-0.007,0.0094,-0.0073
2018-03-12,0.0076,0.0091,-0.022,0.0111
2018-03-13,-0.0051,-0.0045,0.0199,0.0105
2018-03-14,-0.0001,0.0049,0.0032,-0.0009
2018-03-15,0.0002,-0.0052,-0.0213,0.0059
2018-03-16,-0.0066,-0.0014,0.0022,-0.0085
2018-03-19,0.0084,0.0036,0.0144,0.0083
2018-03-20,-0.0047,-0.0035,0.0042,0.001
2018-03-21,-0.0163,-0.0015,0.0035,0.0013
2018-03-22,0.0191,-0.0017,0.0167,-0.0015
2018-03-23,0.0128,-0.015,0.0019,0.0005
2018-03-26,0.0168,0.0052,0.0211,-0.0105
2018-03-27,-0.0032,-0.0036,0.0092,0.002
2018-03-28,0.0039,-0.0035,-0.0108,0.0087
2018-03-29,-0.0127,0.0049,0.0278,-0.001
2018-04-02,0.0204,-0.0031,-0.0236,0.001
2018-04-03,-0.0018,-0.0063,-0.0003,0.001
2018-04-04,0.0123,-0.0005,-0.0097,-0.003
2018-04-05,0.0059,0.0058,0.0145,0.0007
2018-04-06,0.003,0.0044,0.0002,-0.0026
2018-04-09,0.0024,0.0021,0.0092,-0.0069
2018-04-10,-0.0123,0.002,-0.0009,0.0028
2018-04-11,0.0003,-0.0047,-0.0017,-0.008
2018-04-12,-0.0021,0.0004,0.0098,0.0044
2018-04-13,0.0035,-0.0117,-0.0092,0.0023
2018-04-16,0.0031,0.0052,0.0131,-0.0015
2018-04-17,0.0003,0.0052,0.0011,-0.0109
2018-04-18,-0.0023,-0.0132,0.0035,-0.0022
2018-04-19,-0.0129,0.005,0.0077,-0.0007
2018-04-20,-0.0309,0.0006,0.0009,-0.0029
2018-04-23,0.0083,0.0009,0.0061,-0.0002
2018-04-24,0.0031,0.0034,0.0181,-0.0001
2018-04-25,0.0097,-0.0005,-0.0032,-0.0008
2018-04-26,0.0008,-0.0071,0.0067,-0.031
2018-04-27,0.0047,0.0011,0.0024,-0.0065
2018-04-30,0.0207,0.0019,-0.0056,0.0041
2018-05-01,0.0066,-0.0004,0.0176,-0.0026
2018-05-02,0.0489,-0.0025,-0.0146,-0.0085
2018-05-03,0.0042,-0.0097,-0.0094,0.0026
2018-05-04,0.0228,-0.0089,-0.0077,0.0035
2018-05-07,0.0017,0.0071,0.002,0.0019
2018-05-08,-0.0052,0.0033,-0.0013,0.0057
2018-05-09,-0.0076,0.0092,-0.0033,0.0021
2018-05-10,0.0018,-0.0063,-0.0091,-0.0125
2018-05-11,-0.006,0.0018,0.0045,0.0021
2018-05-14,-0.0015,0.0061,-0.0092,0.0063
2018-05-15,0.0028,0.006,-0.005,0.0014
2018-05-16,0.0025,-0.0068,0.0011,0.0012
2018-05-17,0.003,-0.0073,0.0069,-0.0048
2018-05-18,0.0079,-0.0089,-0.0153,0.0071
2018-05-21,-0.0006,-0.0014,0.0026,0.005
2018-05-22,-0.0031,0.0049,-0.0038,-0.0077
2018-05-23,0.006,-0.0106,0.0077,0.0039
2018-05-24,0.0049,-0.0007,-0.0099,0.018
2018-05-25,0.0038,0.0062,0.0059,0.0051
2018-05-29,0.006,-0.0062,0.0066,-0.0006
2018-05-30,-0.0049,0.0022,-0.0013,-0.0046
2018-05-31,0.0063,-0.0038,-0.0028,0.006
2018-06-01,-0.0016,-0.0047,0.0093,-0.001
2018-06-04,0.0037,-0.0067,-0.0132,-0.0006
2018-06-05,-0.0033,-0.0041,-0.0074,0.0064
2018-06-06,-0.0063,0.0101,0.0037,0.0139
2018-06-07,0.0017,-0.0002,-0.0132,0.0029
2018-06-08,-0.0081,-0.0056,-0.0061,-0.0021
2018-06-11,-0.0067,0.0067,-0.0088,0.0058
2018-06-12,0.0073,0.002,0.0045,0.0002
2018-06-13,-0.0061,0.0026,0.0049,-0.0256
2018-06-14,-0.0032,-0.0053,0.0037,-0.007
2018-06-15,-0.0067,-0.0027,-0.0038,0.0065
2018-06-18,0.0057,0.0047,-0.0241,-0.0091
2018-06-19,-0.0016,-0.0029,0.0088,-0.0042
2018-06-20,0.0053,0.0018,0.0066,0.001
2018-06-21,-0.003,0.0007,-0.0105,-0.0074
2018-06-22,-0.0012,-0.005,0.0121,-0.004
2018-06-25,0.0084,-0.0044,-0.002,-0.002
2018-06-26,0.0027,0.006,-0.0237,-0.0009
2018-06-27,0.0056,0.0013,0.0023,0.0014
2018-06-28,0.0045,0.0105,-0.0005,0.005
2018-06-29,-0.0054,-0.013,0.0111,-0.0004
2018-07-02,0.0029,-0.0051,0.0013,0.0045
2018-07-03,-0.0008,-0.0008,0.0074,-0.0021
2018-07-05,-0.0056,0.0031,-0.0027,-0.0096
2018-07-06,0.0069,-0.0022,0.0025,-0.0004
2018-07-09,0.0001,0.0092,0.0003,-0.0018
2018-07-10,-0.0112,-0.0053,-0.0113,0.0008
2018-07-11,0.0064,0.0023,0.0091,-0.0083
2018-07-12,0.0002,0.0042,0.0127,0.0078
2018-07-13,0.0004,-0.0023,0.0005,-0.0073
2018-07-16,-0.0002,0.0244,-0.0054,0.0048
2018-07-17,-0.0015,0.0065,-0.0164,0.0024
2018-07-18,-0.009,-0.0096,-0.0039,0.0042
2018-07-19,0.0132,0.0018,0.0112,-0.0021
2018-07-20,0.0016,0.0144,0.0049,0.003
2018-07-23,0.0015,0.0069,0.0039,-0.0025
2018-07-24,0.0051,-0.0077,-0.0052,0.0013
2018-07-25,-0.007,0.0089,0.0001,-0.0159
2018-07-26,-0.0059,0.001,-0.0167,-0.0093
2018-07-27,-0.0015,0.0018,-0.074,0.0024
2018-07-30,0.009,0.0116,0.0059,0.0019
2018-07-31,0.0068,-0.0069,0.0093,0.0047
2018-08-01,0.0539,0.0122,0.0176,-0.002
2018-08-02,0.012,-0.0006,0.0088,0.004
2018-08-03,-0.0032,0.0013,-0.0037,0.0016
2018-08-06,0.0022,0.0002,-0.0075,0.0019
2018-08-07,-0.021,-0.0047,-0.0043,0.0066
2018-08-08,0.0014,0.0048,0.0007,0.0086
2018-08-09,0.0177,-0.001,0.0121,-0.028
2018-08-10,0.0042,0,-0.0007,-0.0037
2018-08-13,0.0094,-0.0154,-0.0095,-0.0049
2018-08-14,-0.0036,0,-0.005,-0.0108
2018-08-15,0.0074,-0.0017,0.0021,0.0005
2018-08-16,0.0094,0.0006,-0.0072,-0.0028
2018-08-17,0.0162,0.0014,0.0011,-0.0106
2018-08-20,-0.0115,-0.001,-0.0142,0.0019
2018-08-21,-0.0037,0.0022,0.0045,0.0074
2018-08-22,0.0001,-0.003,-0.0159,0.0056
2018-08-23,-0.0013,0,-0.0019,-0.0007
2018-08-24,-0.0007,-0.0028,-0.0001,0.0026
2018-08-27,-0.0061,0.0019,-0.0027,0.0023
2018-08-28,0.0026,0.0004,0.0018,0.001
2018-08-29,0.0105,-0.0042,0.0015,-0.0037
2018-08-30,0.0142,0.0026,-0.001,0.0007
2018-08-31,0.01,-0.001,0.0004,0.005
2018-09-04,0.0065,0.0029,-0.0096,0.0034
2018-09-05,0.0057,0.0059,-0.0001,-0.0057
2018-09-06,-0.0107,0.0026,0.0121,-0.0046
2018-09-07,-0.0077,0.0005,-0.009,-0.003
2018-09-10,-0.0185,-0.002,-0.0099,0.0063
2018-09-11,0.0209,-0.0019,-0.0188,0.0005
2018-09-12,-0.0102,-0.0027,0.0107,0.009
2018-09-13,0.0133,-0.0088,0.0006,0.0042
2018-09-14,-0.009,0.0001,-0.01,-0.0031
2018-09-17,-0.0173,-0.0025,0.0081,-0.0123
2018-09-18,-0.0023,-0.0038,0.0052,0.0013
2018-09-19,0.0015,0.008,-0.01,-0.0005
2018-09-20,-0.0031,-0.0024,0.0065,-0.0026
2018-09-21,-0.0127,-0.0024,-0.0087,0.002
2018-09-24,0.0137,0.0011,0.0052,0.0068
2018-09-25,0.009,0.0006,-0.0018,0.0107
2018-09-26,0.0007,-0.0071,0.0045,-0.0035
2018-09-27,0.0186,-0.0028,-0.0021,-0.0037
2018-09-28,0.007,-0.0065,0.022,0.0009
2018-10-01,0.0028,-0.003,-0.028,-0.0079
2018-10-02,0.0091,-0.0035,0.0278,-0.0117
2018-10-03,0.011,0.002,0.0158,0.0039
2018-10-04,-0.0056,0.0098,0.0006,-0.0043
2018-10-05,0.008,-0.0002,0.0032,0.0043
2018-10-08,0.0112,-0.0045,0.0063,0.0037
2018-10-09,0.0119,-0.0061,-0.0083,-0.0039
2018-10-10,-0.0012,0.0055,0.0063,-0.0077
2018-10-11,0.009,-0.0017,-0.0021,0.0069
2018-10-12,0.0015,0.0004,-0.0039,0.0095
2018-10-15,-0.006,-0.0082,0.0026,0.0007
2018-10-16,-0.0096,0.012,0.0024,-0.003
2018-10-17,-0.0049,0.0039,0.002,-0.0035
2018-10-18,-0.0099,-0.0028,0.0062,-0.0002
2018-10-19,0.0211,0.0034,-0.0082,-0.0078
2018-10-22,0.0032,-0.008,0.0161,0.0039
2018-10-23,0.0062,-0.007,-0.0049,-0.0022
2018-10-24,-0.0033,0.004,0.0199,-0.0435
2018-10-25,0.0012,-0.0103,0.0172,-0.0132
2018-10-26,0.0163,0.0089,0.0463,0.0059
2018-10-29,-0.0018,0.0032,-0.0012,0.0001
2018-10-30,-0.0289,-0.0126,0.0133,-0.0008
2018-10-31,0.0066,0.0115,-0.0319,0.0102
2018-11-01,-0.0046,0.0098,-0.0057,0.0017
2018-11-02,-0.059,0.0067,-0.0062,-0.0017
2018-11-05,-0.0255,-0.0058,0.0182,-0.0105
2018-11-06,0.0015,-0.0019,-0.0181,-0.001
2018-11-07,-0.0037,0.0007,0.0165,0.0025
2018-11-08,0.0007,0.0113,0.0048,0.0145
2018-11-09,-0.0026,-0.0009,-0.0053,0.0068
2018-11-12,-0.0098,-0.007,0.0119,0.0007
2018-11-13,-0.0128,-0.0078,0.0024,-0.0042
2018-11-14,-0.0178,-0.0037,-0.0172,0.0031
2018-11-15,0.0071,0.0155,-0.008,-0.0077
2018-11-16,0.0071,-0.0013,0.0286,-0.0087
2018-11-19,-0.005,0.0065,0.0149,-0.0101
2018-11-20,-0.0249,0.0084,-0.0094,-0.0063
2018-11-21,-0.0001,-0.0037,-0.0037,0.0128
2018-11-23,-0.0195,-0.0004,-0.0065,-0.0069
2018-11-26,-0.0049,-0.0016,0.0016,0.0021
2018-11-27,-0.0059,0.0003,0.0009,-0.0072
2018-11-28,0.003,0.0059,-0.0051,0.0112
2018-11-29,-0.0061,-0.0066,-0.0169,0.0045
2018-11-30,-0.0161,0.0019,0.0125,0.01
2018-12-03,0.0078,-0.0009,-0.0057,0.0167
2018-12-04,-0.0004,-0.0066,-0.0056,0.0046
2018-12-06,-0.0108,-0.0133,0.0136,0.0012
2018-12-07,0.0062,-0.0057,-0.0068,-0.003
2018-12-10,-0.0015,-0.0138,0.0067,0.0032
2018-12-11,0.0007,0.0027,-0.0022,-0.0063
2018-12-12,-0.0032,-0.0097,-0.0027,0.0162
2018-12-13,0.0147,0.0019,0.0029,0.0011
2018-12-14,-0.0114,0.0182,0.0043,0.0094
2018-12-17,0.0111,0.0069,-0.0048,0.0053
2018-12-18,0.0028,0.005,-0.0033,0.0017
2018-12-19,-0.0114,0.0079,-0.006,0.0068
2018-12-20,-0.004,0.0043,0.0044,-0.0129
2018-12-21,-0.012,-0.0151,-0.0018,0.0008
2018-12-24,0.004,-0.0022,0.0041,0.0036
2018-12-26,0.0127,0.0067,0.0049,-0.0128
2018-12-27,-0.0203,0.0014,-0.0055,-0.0059
2018-12-28,0.002,-0.0003,0.004,0.0024
2018-12-31,-0.0032,0.0037,-0.0006,-0.0045